##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	34_4H_both_S24_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9040597
Total Bases	913.1 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.21493514200445	32.0	32.0	32.0	32.0	32.0
2	31.371131132158638	32.0	32.0	32.0	32.0	32.0
3	35.03180309884402	37.0	32.0	37.0	32.0	37.0
4	35.876545431678906	37.0	37.0	37.0	32.0	37.0
5	36.127062515893584	37.0	37.0	37.0	37.0	37.0
6	39.584414945163466	41.0	41.0	41.0	37.0	41.0
7	39.66439307050187	41.0	41.0	41.0	37.0	41.0
8	39.643412487029345	41.0	41.0	41.0	37.0	41.0
9	39.9804883460683	41.0	41.0	41.0	37.0	41.0
10-11	40.10021478670048	41.0	41.0	41.0	37.0	41.0
12-13	40.124093353569464	41.0	41.0	41.0	37.0	41.0
14-15	40.09672320312475	41.0	41.0	41.0	37.0	41.0
16-17	40.05355968195463	41.0	41.0	41.0	37.0	41.0
18-19	40.04415604411965	41.0	41.0	41.0	37.0	41.0
20-21	40.03113549912688	41.0	41.0	41.0	37.0	41.0
22-23	40.04571235727021	41.0	41.0	41.0	37.0	41.0
24-25	40.03920935752362	41.0	41.0	41.0	37.0	41.0
26-27	39.97137611597995	41.0	41.0	41.0	37.0	41.0
28-29	39.93619602776232	41.0	41.0	41.0	37.0	41.0
30-31	39.91339714622829	41.0	41.0	41.0	37.0	41.0
32-33	39.91099686226474	41.0	41.0	41.0	37.0	41.0
34-35	39.95505114319331	41.0	41.0	41.0	37.0	41.0
36-37	39.95039669393515	41.0	41.0	41.0	37.0	41.0
38-39	39.92979943691772	41.0	41.0	41.0	37.0	41.0
40-41	39.91752934015309	41.0	41.0	41.0	37.0	41.0
42-43	39.885080100351786	41.0	41.0	41.0	37.0	41.0
44-45	39.845923781360895	41.0	41.0	41.0	37.0	41.0
46-47	39.85157584172815	41.0	41.0	41.0	37.0	41.0
48-49	39.85244237742264	41.0	41.0	41.0	37.0	41.0
50-51	39.84644515179694	41.0	41.0	41.0	37.0	41.0
52-53	39.80231819867648	41.0	41.0	41.0	37.0	41.0
54-55	39.798879930163906	41.0	41.0	41.0	37.0	41.0
56-57	39.775496850484544	41.0	41.0	41.0	37.0	41.0
58-59	39.764333151892515	41.0	41.0	41.0	37.0	41.0
60-61	39.74193479700511	41.0	41.0	41.0	37.0	41.0
62-63	39.705888560235564	41.0	41.0	41.0	37.0	41.0
64-65	39.69455297034034	41.0	41.0	41.0	37.0	41.0
66-67	39.676395707053416	41.0	41.0	41.0	37.0	41.0
68-69	39.65464498638752	41.0	41.0	41.0	37.0	41.0
70-71	39.570056877880965	41.0	41.0	41.0	37.0	41.0
72-73	39.57296116617077	41.0	41.0	41.0	37.0	41.0
74-75	39.53814913992959	41.0	41.0	41.0	37.0	41.0
76-77	39.149989984068526	41.0	41.0	41.0	34.5	41.0
78-79	39.24158144644652	41.0	41.0	41.0	37.0	41.0
80-81	39.38484781480692	41.0	41.0	41.0	37.0	41.0
82-83	39.42697008836916	41.0	41.0	41.0	37.0	41.0
84-85	39.392646967893825	41.0	41.0	41.0	37.0	41.0
86-87	39.356662508018	41.0	41.0	41.0	37.0	41.0
88-89	39.219020215147296	41.0	41.0	41.0	37.0	41.0
90-91	39.238068348804845	41.0	41.0	41.0	37.0	41.0
92-93	39.17208647835978	41.0	41.0	41.0	37.0	41.0
94-95	39.087774955569856	41.0	41.0	41.0	37.0	41.0
96-97	39.07355216696419	41.0	41.0	41.0	37.0	41.0
98-99	38.87104916854496	41.0	41.0	41.0	32.0	41.0
100-101	38.40576850179252	41.0	39.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3481961170475856
1101	2	-0.20632899600601462
1101	3	-0.5225339433753007
1101	4	-0.3729141111814087
1101	5	0.005043517532214992
1101	6	-0.2032668420881052
1101	7	-0.17777341961554072
1101	8	-0.11316956203594941
1101	9	-0.034365284655045514
1101	10-11	0.06574490702448799
1101	12-13	0.05776096908685702
1101	14-15	0.03278458515385552
1101	16-17	0.02250958847866258
1101	18-19	0.0502809575962786
1101	20-21	0.07162203110191712
1101	22-23	0.054952093312444106
1101	24-25	0.04945010119763538
1101	26-27	0.04499319326872353
1101	28-29	0.04483216015401581
1101	30-31	0.0647633028152299
1101	32-33	0.04855941360518301
1101	34-35	-0.031228323045858986
1101	36-37	-0.016040547312350384
1101	38-39	-0.0017724580561235825
1101	40-41	2.3444890324952894E-4
1101	42-43	-0.024476292382111353
1101	44-45	0.07957366093479123
1101	46-47	0.01571701638641798
1101	48-49	0.00209085956269206
1101	50-51	0.03053639458006785
1101	52-53	0.05598992793832025
1101	54-55	0.021614658097675488
1101	56-57	0.029718338773136566
1101	58-59	0.027198919859564796
1101	60-61	0.00631816375199179
1101	62-63	0.031742294571145635
1101	64-65	0.019106218144585796
1101	66-67	0.03788194429020564
1101	68-69	0.006974919585992723
1101	70-71	0.07094783335928412
1101	72-73	0.09285484227969931
1101	74-75	0.06179554965046208
1101	76-77	0.09288000700768606
1101	78-79	0.10071141944931838
1101	80-81	0.15048831312411437
1101	82-83	0.12825050664273618
1101	84-85	0.09553034684604
1101	86-87	0.12949035751366011
1101	88-89	0.24414851025694873
1101	90-91	0.2684291221939361
1101	92-93	0.29843357043701246
1101	94-95	0.3044093581764926
1101	96-97	0.2230755217467717
1101	98-99	0.3844233372386512
1101	100-101	0.23689115670443783
1102	1	-0.18662346032704846
1102	2	-0.0716695330066699
1102	3	-0.31557491274823946
1102	4	-0.1056478088156112
1102	5	0.08448794544514016
1102	6	0.023902432560333864
1102	7	-0.05500379072354633
1102	8	-0.007695848074753542
1102	9	0.03990062072361411
1102	10-11	0.07697755556076658
1102	12-13	0.06806820334133334
1102	14-15	0.007898698773374235
1102	16-17	0.053534106240782364
1102	18-19	0.11405403117638713
1102	20-21	0.14546968422973094
1102	22-23	0.10578361096591493
1102	24-25	0.10464021646000532
1102	26-27	0.11157526517021665
1102	28-29	0.12535045443336656
1102	30-31	0.12917664359004988
1102	32-33	0.1371809613913868
1102	34-35	0.09999055348514219
1102	36-37	0.04501045538582815
1102	38-39	0.10589990956272999
1102	40-41	0.08085273965330941
1102	42-43	0.038485412775692396
1102	44-45	0.09231339295808283
1102	46-47	0.11074253365190145
1102	48-49	0.1479901219416675
1102	50-51	0.08914935616412123
1102	52-53	0.12494369381463599
1102	54-55	0.07260933319911089
1102	56-57	0.09217728630046906
1102	58-59	0.10529856392056303
1102	60-61	0.12172196264905466
1102	62-63	0.16913331485346816
1102	64-65	0.16568902041246503
1102	66-67	0.11604977366094005
1102	68-69	0.11010944995896921
1102	70-71	0.1420441130061647
1102	72-73	0.20508455337640186
1102	74-75	0.13018780131955054
1102	76-77	0.22876236513899784
1102	78-79	0.25862280833225526
1102	80-81	0.26231661105270376
1102	82-83	0.2571671792492154
1102	84-85	0.2761070689940297
1102	86-87	0.2045761013155527
1102	88-89	0.38367852655625967
1102	90-91	0.3784882063254571
1102	92-93	0.42406973598872355
1102	94-95	0.41630545936369145
1102	96-97	0.3626509372511322
1102	98-99	0.5921350229623172
1102	100-101	0.5342314192626461
1103	1	-0.2159968989260932
1103	2	-0.06126726761095469
1103	3	-0.40325985538570563
1103	4	-0.15368590093523693
1103	5	0.07894451727564444
1103	6	-0.07020929704746948
1103	7	-0.0623060536937885
1103	8	-0.09254771205399237
1103	9	-0.06712847287555235
1103	10-11	0.03567543811915641
1103	12-13	0.050707668281063434
1103	14-15	0.07063148394885133
1103	16-17	0.06930525640208174
1103	18-19	0.0400462635856087
1103	20-21	0.1110127485776431
1103	22-23	0.07340649170520663
1103	24-25	0.017729577104212524
1103	26-27	0.08789936349906213
1103	28-29	0.07483977020624621
1103	30-31	0.12029363648340308
1103	32-33	0.08181547229390418
1103	34-35	-0.012356611131991713
1103	36-37	0.03678923973664894
1103	38-39	0.0058284186218884315
1103	40-41	0.028610507244081873
1103	42-43	0.028760219343887172
1103	44-45	0.09857615703192124
1103	46-47	0.11308163355730017
1103	48-49	0.07566445311633174
1103	50-51	-0.025394684438367676
1103	52-53	0.0077280203808882675
1103	54-55	-0.002387968457497891
1103	56-57	0.06237450791633137
1103	58-59	0.030571521062384477
1103	60-61	0.03241201091605461
1103	62-63	0.046563066969696365
1103	64-65	0.0730754474419868
1103	66-67	0.12251379170649557
1103	68-69	0.10947643072493207
1103	70-71	0.11380864767835419
1103	72-73	0.1636487011849752
1103	74-75	0.11424974800756615
1103	76-77	0.12652843998922236
1103	78-79	0.2259674868352448
1103	80-81	0.20874130604894958
1103	82-83	0.1834332783542223
1103	84-85	0.17354203588626405
1103	86-87	0.13680650952336748
1103	88-89	0.2723345999512006
1103	90-91	0.3429650612091564
1103	92-93	0.4105349667728859
1103	94-95	0.419384875551323
1103	96-97	0.3712777230087312
1103	98-99	0.535396380259364
1103	100-101	0.3859472927982637
1104	1	-0.12188979936018285
1104	2	-0.044849435675029525
1104	3	-0.17195173486553017
1104	4	-0.06400247909175505
1104	5	0.06506329011789802
1104	6	0.04718452508144111
1104	7	0.02461612598867191
1104	8	-0.0315826541221611
1104	9	-0.022574751561300843
1104	10-11	0.05882207679191964
1104	12-13	0.0205136778227768
1104	14-15	0.04444947323615622
1104	16-17	0.053913250217803466
1104	18-19	0.05817122070278202
1104	20-21	0.11643885518319763
1104	22-23	0.07264852922252629
1104	24-25	0.05146850190031671
1104	26-27	0.07853576747127988
1104	28-29	0.03038425627561736
1104	30-31	0.09159324905138533
1104	32-33	0.09780571101972413
1104	34-35	0.04887996940308881
1104	36-37	0.04635686652114401
1104	38-39	0.03420888875486128
1104	40-41	-0.00203884162312562
1104	42-43	0.04490787805607255
1104	44-45	0.09126848935435561
1104	46-47	0.062495133756286236
1104	48-49	0.0934851365884839
1104	50-51	0.04450342597289847
1104	52-53	0.07039485171760163
1104	54-55	0.04996072950562791
1104	56-57	0.042923865474449485
1104	58-59	0.06334676017700502
1104	60-61	0.016397323263099395
1104	62-63	0.05104245805647167
1104	64-65	0.09379935524506067
1104	66-67	0.12219220483618187
1104	68-69	0.14996149835400274
1104	70-71	0.12684420268500674
1104	72-73	0.08531340095947115
1104	74-75	0.16092837612313815
1104	76-77	0.07914619050496441
1104	78-79	0.14536991754804518
1104	80-81	0.18037094482690463
1104	82-83	0.24491798462403125
1104	84-85	0.19876358570581232
1104	86-87	0.17755884577958625
1104	88-89	0.2316956573158393
1104	90-91	0.2904416757760444
1104	92-93	0.3695596855759149
1104	94-95	0.40629427043466393
1104	96-97	0.3206845449226563
1104	98-99	0.6137861359530561
1104	100-101	0.3928483398252851
1105	1	-0.14747838040757344
1105	2	0.01280680646312149
1105	3	-0.15325985538570563
1105	4	-0.03208096266363469
1105	5	0.05980871480651473
1105	6	0.00781539431055478
1105	7	-0.07107148579255096
1105	8	0.03930413979785641
1105	9	-0.01589390497431964
1105	10-11	0.005860623304343449
1105	12-13	0.025522483095869575
1105	14-15	0.003532718516758848
1105	16-17	0.07794723171071638
1105	18-19	0.08541663395597965
1105	20-21	0.0644078103060366
1105	22-23	0.08371513368050643
1105	24-25	0.03680365117828188
1105	26-27	-0.017594463661424697
1105	28-29	2.1014057661261631E-4
1105	30-31	0.04344178463154691
1105	32-33	0.010580904392668344
1105	34-35	0.032519932077882174
1105	36-37	-0.018581130633727128
1105	38-39	0.03379138158484807
1105	40-41	0.058672235639143366
1105	42-43	0.044130589714256985
1105	44-45	0.05098356443932772
1105	46-47	0.012711263186936606
1105	48-49	0.06899778644965693
1105	50-51	0.027630006919658
1105	52-53	0.06797493396113197
1105	54-55	0.05353795746842849
1105	56-57	0.06502882890397643
1105	58-59	0.02439868155621383
1105	60-61	0.03093052943457053
1105	62-63	-0.015288784882152129
1105	64-65	0.07912483015802962
1105	66-67	0.03831626084229356
1105	68-69	0.08299494924345652
1105	70-71	0.0969567958265074
1105	72-73	0.11963635550596763
1105	74-75	0.09536085911867076
1105	76-77	0.18634325480403646
1105	78-79	0.13053538806980924
1105	80-81	0.23670426901190922
1105	82-83	0.12905056230483325
1105	84-85	0.13638154205910524
1105	86-87	0.06464601569620498
1105	88-89	0.2159765752598446
1105	90-91	0.26994036985112757
1105	92-93	0.23380657171115615
1105	94-95	0.3443231471562669
1105	96-97	0.27170982177416647
1105	98-99	0.5136679851976353
1105	100-101	0.4188485273661655
1106	1	-0.20208784298365856
1106	2	-0.04216768352369371
1106	3	-0.027148646993815362
1106	4	-0.05908184118388249
1106	5	0.11034420807244061
1106	6	0.08782485299541065
1106	7	0.0057214064248327645
1106	8	0.03144804351084218
1106	9	0.0032246713140153815
1106	10-11	0.05546241566525367
1106	12-13	0.054430558747391444
1106	14-15	0.08965865372177717
1106	16-17	0.11283505949081984
1106	18-19	0.15638727910712902
1106	20-21	0.11809067347389401
1106	22-23	0.15038334187334357
1106	24-25	0.12051266042594477
1106	26-27	0.109830850892223
1106	28-29	0.11615743085796737
1106	30-31	0.15846668851065715
1106	32-33	0.10422338107147056
1106	34-35	0.05253786915667291
1106	36-37	0.08540555536936978
1106	38-39	0.13452267112387517
1106	40-41	0.11672215265115682
1106	42-43	0.09386341179968127
1106	44-45	0.15839583588562078
1106	46-47	0.1506512155043822
1106	48-49	0.13424460274912775
1106	50-51	0.08220280212565712
1106	52-53	0.13751802859737694
1106	54-55	0.1130707253759482
1106	56-57	0.13073778127980518
1106	58-59	0.05908869261628524
1106	60-61	0.11803725692417544
1106	62-63	0.16515623726044737
1106	64-65	0.14710782547808066
1106	66-67	0.1357266839538127
1106	68-69	0.0988556970482719
1106	70-71	0.23312474884437506
1106	72-73	0.18507990347062986
1106	74-75	0.16380844498392833
1106	76-77	0.14992347926820315
1106	78-79	0.17831238760137325
1106	80-81	0.3023691157797188
1106	82-83	0.197802360128442
1106	84-85	0.2063494693349881
1106	86-87	0.15031205228275724
1106	88-89	0.34248347695687187
1106	90-91	0.3533499937636435
1106	92-93	0.4008873701319118
1106	94-95	0.40401734877292483
1106	96-97	0.38238175507247263
1106	98-99	0.5545883661192264
1106	100-101	0.42951665923100535
1107	1	-0.26968469134225614
1107	2	0.013768514284517863
1107	3	-0.35827509321875084
1107	4	-0.040037124476242525
1107	5	0.13439380023162784
1107	6	0.1137572759276182
1107	7	0.09435213188658764
1107	8	0.1343710486121168
1107	9	0.05479507597802069
1107	10-11	0.1128716842393871
1107	12-13	0.09078513774989005
1107	14-15	0.13237362192266033
1107	16-17	0.11428814621752537
1107	18-19	0.11591148979970711
1107	20-21	0.11982945202528583
1107	22-23	0.140287783139307
1107	24-25	0.12044060888090513
1107	26-27	0.13798951759433464
1107	28-29	0.1025929335922271
1107	30-31	0.12603938742956444
1107	32-33	0.11588476558111438
1107	34-35	0.11064403568034464
1107	36-37	0.13851377908637375
1107	38-39	0.12713694810809528
1107	40-41	0.08867262787088492
1107	42-43	0.10210594868030398
1107	44-45	0.1939090359684812
1107	46-47	0.1920222970357912
1107	48-49	0.134295638351837
1107	50-51	0.07369155622023271
1107	52-53	0.1960901938479651
1107	54-55	0.15728332654369126
1107	56-57	0.13125259193088823
1107	58-59	0.14107594588043781
1107	60-61	0.10277500288935926
1107	62-63	0.2298951718036193
1107	64-65	0.16576389259096658
1107	66-67	0.2026015998119277
1107	68-69	0.12891335616093613
1107	70-71	0.21318593168818012
1107	72-73	0.24052609990408058
1107	74-75	0.21799025488937218
1107	76-77	0.24888114957048657
1107	78-79	0.30370568621034266
1107	80-81	0.35693578194593556
1107	82-83	0.27797263547899576
1107	84-85	0.27280062909162694
1107	86-87	0.235508836715681
1107	88-89	0.38290879021467816
1107	90-91	0.4196315798638466
1107	92-93	0.44015656675275494
1107	94-95	0.4880898965616254
1107	96-97	0.4256822338217461
1107	98-99	0.6921934750802805
1107	100-101	0.5490554555107892
1108	1	-0.19305142444000367
1108	2	0.014759439368134508
1108	3	-0.22088394205741224
1108	4	-0.06798495388974857
1108	5	0.10580118586901222
1108	6	0.06281635765886051
1108	7	0.06594346833724529
1108	8	0.16084016161399006
1108	9	0.0662512493837184
1108	10-11	0.0839260717059247
1108	12-13	0.08854561827587304
1108	14-15	0.06082837752109782
1108	16-17	0.15988897136954705
1108	18-19	0.09175539168128921
1108	20-21	0.1064072026555678
1108	22-23	0.1012800855871987
1108	24-25	0.12359844316915769
1108	26-27	0.16298613894998937
1108	28-29	0.11267282935583012
1108	30-31	0.1628914163360875
1108	32-33	0.12426119132225466
1108	34-35	0.09158511370608835
1108	36-37	0.08473293573356244
1108	38-39	0.10781988187385849
1108	40-41	0.08171530471862809
1108	42-43	0.053532276314818716
1108	44-45	0.17949422796399261
1108	46-47	0.12359561692843357
1108	48-49	0.11501471173829714
1108	50-51	0.1330106777064941
1108	52-53	0.11036640906969808
1108	54-55	0.14929255560397792
1108	56-57	0.1574775861846689
1108	58-59	0.11645965409336867
1108	60-61	0.12682229354761887
1108	62-63	0.15004386669699699
1108	64-65	0.11641915529549607
1108	66-67	0.14601897155620236
1108	68-69	0.1765334016614588
1108	70-71	0.16211819371899594
1108	72-73	0.18080008025512484
1108	74-75	0.2015216197192089
1108	76-77	0.31694208692947967
1108	78-79	0.25910711305610334
1108	80-81	0.2708224347967416
1108	82-83	0.20441833904515505
1108	84-85	0.27158747628464397
1108	86-87	0.21809969346360703
1108	88-89	0.3575810689091554
1108	90-91	0.3407772231109476
1108	92-93	0.40638034195999495
1108	94-95	0.4201757845074994
1108	96-97	0.3826495309911877
1108	98-99	0.5785926217189115
1108	100-101	0.4417340519463693
1109	1	-0.2589915212696283
1109	2	0.02664484062270489
1109	3	-0.07256098195665572
1109	4	-0.010719387387538859
1109	5	0.16770395776266867
1109	6	0.06153603726227885
1109	7	0.08943439856194146
1109	8	0.10943558540363796
1109	9	0.11361396918704258
1109	10-11	0.09641074202702526
1109	12-13	0.08744749178740818
1109	14-15	0.034540270906376236
1109	16-17	0.06423727749847075
1109	18-19	0.0652647355027014
1109	20-21	0.06043873737850447
1109	22-23	0.0410965034665125
1109	24-25	0.09489761592393364
1109	26-27	0.07945814416909514
1109	28-29	0.07501123386082753
1109	30-31	0.12176454018118221
1109	32-33	0.011079465666149702
1109	34-35	0.057825726188347915
1109	36-37	0.11630099735005928
1109	38-39	0.09721314666929004
1109	40-41	0.113236253421654
1109	42-43	0.08641309790649387
1109	44-45	0.12103253292048777
1109	46-47	0.13585885655621865
1109	48-49	0.13376119175630663
1109	50-51	0.07175230976974234
1109	52-53	0.13875391745830967
1109	54-55	0.1602437545377171
1109	56-57	0.12087275851364154
1109	58-59	0.16275158009084834
1109	60-61	0.10314805452906484
1109	62-63	0.1617993657809933
1109	64-65	0.11634035804861753
1109	66-67	0.11781847625923092
1109	68-69	0.16304702448626074
1109	70-71	0.17728067572797102
1109	72-73	0.15109934435860595
1109	74-75	0.12619587528122622
1109	76-77	0.06534402409739215
1109	78-79	0.17750082164798897
1109	80-81	0.23824518580246945
1109	82-83	0.22688411385119167
1109	84-85	0.25959644859735675
1109	86-87	0.24631087008524588
1109	88-89	0.3421213799406999
1109	90-91	0.31920047977131105
1109	92-93	0.41266513268875116
1109	94-95	0.4591166214773992
1109	96-97	0.37343374161972065
1109	98-99	0.582456348156164
1109	100-101	0.44056860074491766
1110	1	-0.20006304945573206
1110	2	-0.01898586226632304
1110	3	-0.2243743306832826
1110	4	-0.12665510534939983
1110	5	0.049456094946300766
1110	6	0.05852714107584944
1110	7	0.042511549854545194
1110	8	0.0648046731984735
1110	9	-9.018506515587887E-4
1110	10-11	-0.008513837208518282
1110	12-13	0.04691729251028676
1110	14-15	0.032878517046249556
1110	16-17	0.08878506907001338
1110	18-19	0.036109103047515134
1110	20-21	0.011188261726736926
1110	22-23	0.023712787603109575
1110	24-25	0.022823088208241415
1110	26-27	0.048365037730725646
1110	28-29	0.10377611183051982
1110	30-31	0.11287715462566439
1110	32-33	0.06064973741835189
1110	34-35	0.044880063812342996
1110	36-37	0.04285502286170839
1110	38-39	0.07073778478260095
1110	40-41	0.015694554360401014
1110	42-43	0.05098613774465832
1110	44-45	0.10343410868501479
1110	46-47	0.05389687332198889
1110	48-49	0.018335351575444747
1110	50-51	0.025354090510838034
1110	52-53	0.09267045295329268
1110	54-55	0.0785013276750135
1110	56-57	0.051949602312745924
1110	58-59	0.08974220483327855
1110	60-61	0.08735552799593904
1110	62-63	0.14875058495260873
1110	64-65	0.16566157725531383
1110	66-67	0.0900345412118213
1110	68-69	0.09873473827354928
1110	70-71	0.15846609824473745
1110	72-73	0.12002522890188771
1110	74-75	0.11303547588914142
1110	76-77	0.18195004780475443
1110	78-79	0.21637840450564028
1110	80-81	0.14433572681128481
1110	82-83	0.09727236843031051
1110	84-85	0.18519721562677915
1110	86-87	0.21407693699637775
1110	88-89	0.3376821735317179
1110	90-91	0.33514682466257995
1110	92-93	0.356529924919748
1110	94-95	0.43313198168698364
1110	96-97	0.3193611105674421
1110	98-99	0.5509043502826927
1110	100-101	0.4003345018072011
1111	1	-0.17144994204317854
1111	2	-0.0058995042379415
1111	3	-0.20733693413470178
1111	4	0.07660917581653592
1111	5	0.1356436167569015
1111	6	0.11011149618671112
1111	7	0.048283834691375205
1111	8	0.13835148110241846
1111	9	0.11031852554257426
1111	10-11	0.12010357778351732
1111	12-13	0.07578397818676308
1111	14-15	0.08412463947613702
1111	16-17	0.12933066357971512
1111	18-19	0.07598862685080832
1111	20-21	0.028585236360100907
1111	22-23	0.06546076143663271
1111	24-25	0.15238682323127506
1111	26-27	0.1343443028311455
1111	28-29	0.10483163990939914
1111	30-31	0.11395642358450431
1111	32-33	0.11182519330099439
1111	34-35	0.08788632567262056
1111	36-37	0.11372875739795063
1111	38-39	0.1096954352448094
1111	40-41	0.15063044414591076
1111	42-43	0.10961518191800934
1111	44-45	0.18966389353960267
1111	46-47	0.16012238225160047
1111	48-49	0.11448061119757824
1111	50-51	0.12400760618439932
1111	52-53	0.20632580929363797
1111	54-55	0.19952848390515499
1111	56-57	0.12813853488769666
1111	58-59	0.13915844012174006
1111	60-61	0.1433720487396073
1111	62-63	0.19081918899485117
1111	64-65	0.12672144371265404
1111	66-67	0.14944836049144783
1111	68-69	0.14706725586168545
1111	70-71	0.21114871501842458
1111	72-73	0.1907791040765332
1111	74-75	0.20898321566753708
1111	76-77	0.19423101252119324
1111	78-79	0.2592245544492684
1111	80-81	0.24360083749640182
1111	82-83	0.26174195567863734
1111	84-85	0.23115650074482375
1111	86-87	0.3340342992314689
1111	88-89	0.36294910015887183
1111	90-91	0.3787553348996866
1111	92-93	0.4213347847249338
1111	94-95	0.4567262242968795
1111	96-97	0.4832889993769669
1111	98-99	0.6483343337222536
1111	100-101	0.4133260674211314
1112	1	-0.12846801531877716
1112	2	0.05659435515262956
1112	3	0.026960650324994617
1112	4	-0.004844546211529632
1112	5	0.1355827954825557
1112	6	0.1003828994270819
1112	7	0.11013205286196381
1112	8	0.08528024067592099
1112	9	0.07500990436086141
1112	10-11	0.060461534375839676
1112	12-13	0.0700157820989773
1112	14-15	0.10016835593670947
1112	16-17	0.11375597271554483
1112	18-19	0.09749526338755032
1112	20-21	0.05614709861395539
1112	22-23	0.07238549744891287
1112	24-25	0.07972271105813178
1112	26-27	0.06505787673601304
1112	28-29	0.13650478638106023
1112	30-31	0.07313248245950632
1112	32-33	0.07793417566750804
1112	34-35	0.0965652875938261
1112	36-37	0.07336050797458427
1112	38-39	0.13967868600156663
1112	40-41	0.07627737196977336
1112	42-43	0.05526084653078556
1112	44-45	0.19202469469614414
1112	46-47	0.11675166722733366
1112	48-49	0.10681385563827916
1112	50-51	0.07005094836021186
1112	52-53	0.12306967219313236
1112	54-55	0.11530926531817443
1112	56-57	0.12834532722047953
1112	58-59	0.11589336697246466
1112	60-61	0.17275036174459757
1112	62-63	0.13131516309434232
1112	64-65	0.15327086567661752
1112	66-67	0.1469235758221572
1112	68-69	0.10082554276031885
1112	70-71	0.16976428245752118
1112	72-73	0.18301854339795653
1112	74-75	0.1925659162256892
1112	76-77	0.18584843734843304
1112	78-79	0.20901495498075207
1112	80-81	0.2749986507376576
1112	82-83	0.2669894280868377
1112	84-85	0.2977270230124276
1112	86-87	0.27976254042057036
1112	88-89	0.4048502796237443
1112	90-91	0.3684070629256695
1112	92-93	0.3931338312344934
1112	94-95	0.4690504859032174
1112	96-97	0.4397341830338206
1112	98-99	0.6254386328506385
1112	100-101	0.44599878814387495
1113	1	-0.16606812399731652
1113	2	-0.03360819828521855
