##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	6_2D_mbnl_S5_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11028244
Total Bases	1.1 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.15187630959199	32.0	32.0	32.0	32.0	32.0
2	31.337490175226446	32.0	32.0	32.0	32.0	32.0
3	35.00677741624143	37.0	32.0	37.0	32.0	37.0
4	36.003706755128015	37.0	37.0	37.0	32.0	37.0
5	35.993199370634166	37.0	37.0	37.0	32.0	37.0
6	39.57259333398862	41.0	41.0	41.0	37.0	41.0
7	39.977401116623824	41.0	41.0	41.0	37.0	41.0
8	39.765580993674064	41.0	41.0	41.0	37.0	41.0
9	40.027109302260634	41.0	41.0	41.0	37.0	41.0
10-11	40.11487903241894	41.0	41.0	41.0	37.0	41.0
12-13	40.11328235936746	41.0	41.0	41.0	37.0	41.0
14-15	40.115775956716234	41.0	41.0	41.0	37.0	41.0
16-17	40.0631143090414	41.0	41.0	41.0	37.0	41.0
18-19	40.04975574533897	41.0	41.0	41.0	37.0	41.0
20-21	40.0293383969379	41.0	41.0	41.0	37.0	41.0
22-23	40.0455238386093	41.0	41.0	41.0	37.0	41.0
24-25	40.039015186823946	41.0	41.0	41.0	37.0	41.0
26-27	39.972180158509374	41.0	41.0	41.0	37.0	41.0
28-29	39.93679832437512	41.0	41.0	41.0	37.0	41.0
30-31	39.9064489777339	41.0	41.0	41.0	37.0	41.0
32-33	39.90943567262386	41.0	41.0	41.0	37.0	41.0
34-35	39.951742135919375	41.0	41.0	41.0	37.0	41.0
36-37	39.94925334441277	41.0	41.0	41.0	37.0	41.0
38-39	39.92808750876386	41.0	41.0	41.0	37.0	41.0
40-41	39.9164855710483	41.0	41.0	41.0	37.0	41.0
42-43	39.89203453423772	41.0	41.0	41.0	37.0	41.0
44-45	39.84382232565765	41.0	41.0	41.0	37.0	41.0
46-47	39.84875556797619	41.0	41.0	41.0	37.0	41.0
48-49	39.84622574545866	41.0	41.0	41.0	37.0	41.0
50-51	39.83637766810382	41.0	41.0	41.0	37.0	41.0
52-53	39.78820027921036	41.0	41.0	41.0	37.0	41.0
54-55	39.79221034645226	41.0	41.0	41.0	37.0	41.0
56-57	39.76851196799781	41.0	41.0	41.0	37.0	41.0
58-59	39.754400337896044	41.0	41.0	41.0	37.0	41.0
60-61	39.728486738233215	41.0	41.0	41.0	37.0	41.0
62-63	39.688110228609375	41.0	41.0	41.0	37.0	41.0
64-65	39.67607834937276	41.0	41.0	41.0	37.0	41.0
66-67	39.65472431513122	41.0	41.0	41.0	37.0	41.0
68-69	39.63239873002448	41.0	41.0	41.0	37.0	41.0
70-71	39.538520139743014	41.0	41.0	41.0	37.0	41.0
72-73	39.54119472692117	41.0	41.0	41.0	37.0	41.0
74-75	39.50835545532	41.0	41.0	41.0	37.0	41.0
76-77	39.12584034230653	41.0	39.0	41.0	34.5	41.0
78-79	39.22390101270882	41.0	41.0	41.0	37.0	41.0
80-81	39.37508020315836	41.0	41.0	41.0	37.0	41.0
82-83	39.41942321007769	41.0	41.0	41.0	37.0	41.0
84-85	39.3836577246568	41.0	41.0	41.0	37.0	41.0
86-87	39.3492527459494	41.0	41.0	41.0	37.0	41.0
88-89	39.20343306695064	41.0	41.0	41.0	37.0	41.0
90-91	39.21927810991487	41.0	41.0	41.0	37.0	41.0
92-93	39.14743711691544	41.0	41.0	41.0	37.0	41.0
94-95	39.06251856596572	41.0	41.0	41.0	37.0	41.0
96-97	39.04421211572758	41.0	41.0	41.0	37.0	41.0
98-99	38.837536918842204	41.0	41.0	41.0	32.0	41.0
100-101	38.35858954517147	41.0	39.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3629266110201712
1101	2	-0.17809840846697966
1101	3	-0.4647081239664175
1101	4	-0.24210282360363067
1101	5	0.05062956142162989
1101	6	-0.1147588578895622
1101	7	0.04760417724113353
1101	8	-0.069859909039792
1101	9	-0.022294495246811152
1101	10-11	0.09138884125929536
1101	12-13	0.0831453336931034
1101	14-15	0.06995099732423427
1101	16-17	0.08326525115862893
1101	18-19	0.10021192804921952
1101	20-21	0.10754739397061286
1101	22-23	0.10683445133123115
1101	24-25	0.052037186936082946
1101	26-27	0.06903746851623538
1101	28-29	0.08201992200671526
1101	30-31	0.09571831711172507
1101	32-33	0.14449103576578182
1101	34-35	0.007198170989042296
1101	36-37	0.02764352559965033
1101	38-39	0.061011839977688
1101	40-41	0.04005574978020121
1101	42-43	0.04785438101212236
1101	44-45	0.07533600679078489
1101	46-47	0.05067936600577383
1101	48-49	0.029120491713513275
1101	50-51	0.07189153285015948
1101	52-53	0.11701528689594909
1101	54-55	0.06585788934511072
1101	56-57	0.0651013444098183
1101	58-59	0.06119395274265571
1101	60-61	0.05332187883156081
1101	62-63	0.1352102162138138
1101	64-65	0.10963264570396092
1101	66-67	0.09656539263454533
1101	68-69	0.10623157010542883
1101	70-71	0.12818065852960814
1101	72-73	0.15855897686879672
1101	74-75	0.12480990936087721
1101	76-77	0.03732527045622902
1101	78-79	0.13648671491605313
1101	80-81	0.18719497823247622
1101	82-83	0.13818230464089254
1101	84-85	0.14733451499892425
1101	86-87	0.1801524769914522
1101	88-89	0.2648930460140164
1101	90-91	0.32150967233220484
1101	92-93	0.30444076310082835
1101	94-95	0.35691664832237535
1101	96-97	0.2443762233194704
1101	98-99	0.46274453765445855
1101	100-101	0.2363586780826239
1102	1	-0.2932471512221433
1102	2	-0.09203574493413669
1102	3	-0.3550662929451889
1102	4	-0.06378371363609148
1102	5	0.13093507240387225
1102	6	0.047316619586013076
1102	7	0.04716181292577204
1102	8	0.017185707487584523
1102	9	0.03981016149622718
1102	10-11	0.06794721098807344
1102	12-13	0.07037405713674616
1102	14-15	0.0326020186270739
1102	16-17	0.08684324745662764
1102	18-19	0.11996593421732626
1102	20-21	0.11128027447376354
1102	22-23	0.1302348690712023
1102	24-25	0.10420528690211484
1102	26-27	0.1453289574143426
1102	28-29	0.10251071838167292
1102	30-31	0.09878628079426477
1102	32-33	0.11187439653706122
1102	34-35	0.1015280258357052
1102	36-37	0.11494435726949348
1102	38-39	0.08228775415025069
1102	40-41	0.11205923037703514
1102	42-43	0.09135112848949234
1102	44-45	0.16258334116653117
1102	46-47	0.10530708400552413
1102	48-49	0.09032712476750504
1102	50-51	0.10685498095158863
1102	52-53	0.1211454983317708
1102	54-55	0.09703069545008702
1102	56-57	0.09438766288445777
1102	58-59	0.059857374841868705
1102	60-61	0.07482945429023857
1102	62-63	0.10066823865782482
1102	64-65	0.07271239233346449
1102	66-67	0.09731543759538397
1102	68-69	0.09426987070720827
1102	70-71	0.17463084087665237
1102	72-73	0.13342005022667536
1102	74-75	0.127559509060859
1102	76-77	0.17535583154992906
1102	78-79	0.22900382295303956
1102	80-81	0.21518780414591987
1102	82-83	0.20075824271984288
1102	84-85	0.18323463865156242
1102	86-87	0.1815068747844748
1102	88-89	0.2929346804833415
1102	90-91	0.36353785325579224
1102	92-93	0.3988409328992546
1102	94-95	0.3753009974742909
1102	96-97	0.31876970560682594
1102	98-99	0.5343270125492339
1102	100-101	0.4612098741902244
1103	1	-0.28214254902872327
1103	2	-0.1349680184132076
1103	3	-0.4105353856363223
1103	4	-0.04899760026141564
1103	5	0.085245176377164
1103	6	-0.032825496688687394
1103	7	0.08318151741097779
1103	8	-0.1287377715311564
1103	9	0.005281471602089027
1103	10-11	0.01740773506059412
1103	12-13	0.02196488614233516
1103	14-15	0.07264329870516661
1103	16-17	0.07263288081316688
1103	18-19	0.05076289307896076
1103	20-21	0.07607299334977569
1103	22-23	0.05861291671462254
1103	24-25	0.029683423102717654
1103	26-27	0.04299334070693561
1103	28-29	0.0553609901584835
1103	30-31	0.06809010400596094
1103	32-33	0.06990250390880703
1103	34-35	0.027492615592251468
1103	36-37	0.02015742220490324
1103	38-39	0.01679030290610939
1103	40-41	-0.0654856568952269
1103	42-43	-0.01679967678713723
1103	44-45	0.062480463865909996
1103	46-47	0.07989240736061021
1103	48-49	0.018667234855911374
1103	50-51	-0.02341149177875934
1103	52-53	0.04791720162691604
1103	54-55	-0.008818065958948296
1103	56-57	0.012663742252485122
1103	58-59	0.025924994428308423
1103	60-61	-0.015817674498016743
1103	62-63	0.051545562812286505
1103	64-65	0.04879901165427469
1103	66-67	0.06671460184980305
1103	68-69	0.09742722654183922
1103	70-71	0.1440559699586359
1103	72-73	0.1436763416284279
1103	74-75	0.09127858795465471
1103	76-77	0.02360726186033446
1103	78-79	0.11851581417260348
1103	80-81	0.177094470421153
1103	82-83	0.0844947870348065
1103	84-85	0.17287737861516206
1103	86-87	0.15070915532663776
1103	88-89	0.237239397549331
1103	90-91	0.2781538042417466
1103	92-93	0.33786304275460566
1103	94-95	0.3147424705593167
1103	96-97	0.28670594197667754
1103	98-99	0.4671123667217856
1103	100-101	0.27057412154317007
1104	1	-0.1274089897169155
1104	2	-0.0722833802544578
1104	3	-0.14169401772399937
1104	4	-0.037342791237016115
1104	5	0.030169462655813106
1104	6	0.07904075054025839
1104	7	0.1034841292260964
1104	8	0.06908390245447293
1104	9	0.01331543948212044
1104	10-11	0.03634391584029828
1104	12-13	0.08324246138670333
1104	14-15	0.07065063205379829
1104	16-17	0.08762973655461082
1104	18-19	0.09492333917146567
1104	20-21	0.11577488121913859
1104	22-23	0.08495037191604382
1104	24-25	0.11902757946398879
1104	26-27	0.061491114327161256
1104	28-29	0.10671815053375866
1104	30-31	0.08839247378073622
1104	32-33	0.12283477014428001
1104	34-35	0.07051862374383688
1104	36-37	0.05817875702093289
1104	38-39	0.08146926595006931
1104	40-41	0.04007749929932203
1104	42-43	0.03325516749482205
1104	44-45	0.12624657432866826
1104	46-47	0.08136480571838689
1104	48-49	0.11843200048073754
1104	50-51	0.10151586006958269
1104	52-53	0.11578705461840855
1104	54-55	0.1562071466111803
1104	56-57	0.08794376336087595
1104	58-59	0.042453831650419716
1104	60-61	0.05260623973887135
1104	62-63	0.14154919671330646
1104	64-65	0.15776264413478458
1104	66-67	0.11269614918838045
1104	68-69	0.1614874572205025
1104	70-71	0.2170527060600591
1104	72-73	0.20313031282658045
1104	74-75	0.18416843450849285
1104	76-77	0.13891705825681555
1104	78-79	0.1908314899453316
1104	80-81	0.2678013499657652
1104	82-83	0.22639868894349746
1104	84-85	0.2281457307010939
1104	86-87	0.24772657250856867
1104	88-89	0.30058140698186264
1104	90-91	0.3920706739098776
1104	92-93	0.40854832447288203
1104	94-95	0.4234918561373249
1104	96-97	0.3447601217703351
1104	98-99	0.5768173069773681
1104	100-101	0.4142194419269245
1105	1	-0.2168265047495268
1105	2	-0.09378598266797056
1105	3	-0.20236059757991143
1105	4	-0.11961960833063046
1105	5	0.03756279278319852
1105	6	0.02972630247981556
1105	7	0.03426454741855878
1105	8	0.11009443898760907
1105	9	0.03376363007111394
1105	10-11	0.05507309690839435
1105	12-13	0.026978017886023054
1105	14-15	0.06097582751541353
1105	16-17	0.06401897073421736
1105	18-19	0.048718472953460434
1105	20-21	0.07213732819772645
1105	22-23	0.03357588647114795
1105	24-25	0.012831059525616695
1105	26-27	-0.01497330966105892
1105	28-29	0.05731628948414169
1105	30-31	0.027206534145967964
1105	32-33	0.02764963051827607
1105	34-35	-0.0049473861664921515
1105	36-37	0.0675851705680941
1105	38-39	0.11079930002439653
1105	40-41	0.07487889861550201
1105	42-43	0.05358847083234508
1105	44-45	0.08332646908423413
1105	46-47	0.025983090611767068
1105	48-49	0.061242910886988966
1105	50-51	0.050687809449669885
1105	52-53	0.0911689077105251
1105	54-55	0.05526566280795464
1105	56-57	0.05287862033927837
1105	58-59	0.0031537982626446137
1105	60-61	0.031056176663227575
1105	62-63	0.014802650232688563
1105	64-65	0.02484207610665834
1105	66-67	0.05568748483582908
1105	68-69	0.025438155209556612
1105	70-71	0.09133472471530268
1105	72-73	0.09457765481504765
1105	74-75	0.07907284019787397
1105	76-77	0.14667754955313228
1105	78-79	0.10335177025527997
1105	80-81	0.14969175855236472
1105	82-83	0.0863675945069744
1105	84-85	0.12647237103866615
1105	86-87	-0.006669670289838336
1105	88-89	0.2294077796859355
1105	90-91	0.2772837894798599
1105	92-93	0.3249321933917386
1105	94-95	0.33557973414169595
1105	96-97	0.22784874701527258
1105	98-99	0.41638287235434035
1105	100-101	0.25254124417383395
1106	1	-0.2811821221171158
1106	2	-0.13785865510499207
1106	3	-0.10224067335617093
1106	4	-0.05020365897281209
1106	5	0.07676261064160883
1106	6	0.03938746083227329
1106	7	0.04194480838228998
1106	8	-0.0014433722760358592
1106	9	-0.021811801887643867
1106	10-11	0.054851159841717845
1106	12-13	0.0035639187141356388
1106	14-15	0.05975909911406774
1106	16-17	0.10121766073253724
1106	18-19	0.10764554364725853
1106	20-21	0.11841441331822722
1106	22-23	0.08438199862882101
1106	24-25	0.032656634964915554
1106	26-27	0.02476783540131322
1106	28-29	0.06913733840448089
1106	30-31	0.10705397799601002
1106	32-33	0.10475048002617626
1106	34-35	0.04131371059888522
1106	36-37	0.0369982559948312
1106	38-39	0.06758921970274656
1106	40-41	4.114834914190624E-4
1106	42-43	0.00438788909144705
1106	44-45	0.04452110772081852
1106	46-47	0.046703652051625966
1106	48-49	0.03727011394988722
1106	50-51	0.032313002577780026
1106	52-53	0.12393485766293821
1106	54-55	0.05180591042349647
1106	56-57	0.042597560134709056
1106	58-59	0.06461971017976964
1106	60-61	0.05949902818520769
1106	62-63	0.09319777241825022
1106	64-65	0.07022530109630765
1106	66-67	0.05524749595821277
1106	68-69	0.09719291292134358
1106	70-71	0.16055927622233668
1106	72-73	0.14328015983796405
1106	74-75	0.09374141466415864
1106	76-77	0.06761331897767064
1106	78-79	0.1504909096873206
1106	80-81	0.250691831422273
1106	82-83	0.16868459838351413
1106	84-85	0.14554970553127333
1106	86-87	0.09922865959402571
1106	88-89	0.2210459352938159
1106	90-91	0.21905560743504537
1106	92-93	0.2970652292528726
1106	94-95	0.34860824314309014
1106	96-97	0.2615556023685883
1106	98-99	0.4772158494722092
1106	100-101	0.3515279905863906
1107	1	-0.3282373354907442
1107	2	0.003675924589170876
1107	3	-0.4148378961731751
1107	4	0.021958025785750124
1107	5	0.14210153234044043
1107	6	0.09959589874419805
1107	7	0.11843267284490366
1107	8	0.10610664451007068
1107	9	0.10624853729501638
1107	10-11	0.11970764832704361
1107	12-13	0.1197324202663026
1107	14-15	0.1228495352367176
1107	16-17	0.16290986726504997
1107	18-19	0.09132594191935084
1107	20-21	0.11682879345809027
1107	22-23	0.0871834982372377
1107	24-25	0.06271775331870089
1107	26-27	0.12612240994217672
1107	28-29	0.08893544336361003
1107	30-31	0.12982237266540864
1107	32-33	0.1568983789172762
1107	34-35	0.10307572706110335
1107	36-37	0.1545007612111604
1107	38-39	0.13387451637557035
1107	40-41	0.08391154710459148
1107	42-43	0.11429865463651367
1107	44-45	0.21628302624059614
1107	46-47	0.16351803011206556
1107	48-49	0.18558284891475552
1107	50-51	0.1296268437782686
1107	52-53	0.1539836516757731
1107	54-55	0.14806059954120343
1107	56-57	0.14256185611375116
1107	58-59	0.1894820212490771
1107	60-61	0.17429337066239015
1107	62-63	0.19159674861439413
1107	64-65	0.19935668184223942
1107	66-67	0.17221233079855836
1107	68-69	0.11603552566145936
1107	70-71	0.18187760889892246
1107	72-73	0.20204326486463486
1107	74-75	0.20253276041904655
1107	76-77	0.19648493483545337
1107	78-79	0.3024680704993372
1107	80-81	0.2943665383591849
1107	82-83	0.23792252350175147
1107	84-85	0.3125723021955906
1107	86-87	0.2552805914611582
1107	88-89	0.38925072978661746
1107	90-91	0.3503757496253357
1107	92-93	0.4980969189088498
1107	94-95	0.5182771930611096
1107	96-97	0.4619979226689992
1107	98-99	0.6667074937321189
1107	100-101	0.5496632871618701
1108	1	-0.23251843297457242
1108	2	0.022684592641958545
1108	3	-0.21038675905904114
1108	4	0.06080780481885739
1108	5	0.19850845711265208
1108	6	0.11244475116715336
1108	7	0.15567970688059063
1108	8	0.0956887971743896
1108	9	0.103087457196267
1108	10-11	0.10776864073856984
1108	12-13	0.125055352949488
1108	14-15	0.10074172413867188
1108	16-17	0.1708558128128388
1108	18-19	0.0912810613327153
1108	20-21	0.16240830703328157
1108	22-23	0.15145760310343093
1108	24-25	0.11409352987683263
1108	26-27	0.1327932839030197
1108	28-29	0.13590343098109514
1108	30-31	0.145136643963113
1108	32-33	0.15733557765167205
1108	34-35	0.1257682425776636
1108	36-37	0.14560973697231816
1108	38-39	0.1605966670738539
1108	40-41	0.13165370907091045
1108	42-43	0.10194491044313025
1108	44-45	0.17485868635473167
1108	46-47	0.13367604539421762
1108	48-49	0.110867459234953
1108	50-51	0.16512949863310666
1108	52-53	0.169658112851792
1108	54-55	0.1555425606655234
1108	56-57	0.1456153664379869
1108	58-59	0.08390955658029497
1108	60-61	0.12792581920327706
1108	62-63	0.21195028632505597
1108	64-65	0.1720311398253287
1108	66-67	0.18265356223488993
1108	68-69	0.17986179030482674
1108	70-71	0.1627033354119689
1108	72-73	0.20962160594481105
1108	74-75	0.15116303005087417
1108	76-77	0.3623934063695984
1108	78-79	0.27869632948477374
1108	80-81	0.2922152059511802
1108	82-83	0.2998507018108185
1108	84-85	0.2762172316059335
1108	86-87	0.18696045003116524
1108	88-89	0.36857710309156744
1108	90-91	0.3891981994916236
1108	92-93	0.4526423906585464
1108	94-95	0.4620620771145454
1108	96-97	0.44318003471612144
1108	98-99	0.5755452687974909
1108	100-101	0.45329484624318894
1109	1	-0.2901507973370059
1109	2	-0.01833904065634684
1109	3	-0.13742939458941805
1109	4	0.02567320464606837
1109	5	0.18320192935337332
1109	6	0.1555525125351025
1109	7	0.036865895673841464
1109	8	-0.05700934736479013
1109	9	0.053026315183025474
1109	10-11	0.061103158635518184
1109	12-13	0.08210587043627271
1109	14-15	0.034292031726110395
1109	16-17	0.08128515752583354
1109	18-19	0.05492963899158809
1109	20-21	0.031834688033050895
1109	22-23	0.05662697105444181
1109	24-25	0.05407490761123057
1109	26-27	0.08597821953218698
1109	28-29	0.07340941687251501
1109	30-31	0.09273763673709112
1109	32-33	0.07259442050316522
1109	34-35	0.040725407682032255
1109	36-37	0.062481570659969066
1109	38-39	0.11568184827149963
1109	40-41	0.14461786533674825
1109	42-43	0.034017026722700905
1109	44-45	0.05192943047914156
1109	46-47	0.09316347876773534
1109	48-49	0.09700778784809927
1109	50-51	0.07650119559136215
1109	52-53	0.11584004041465334
1109	54-55	0.12211108666442527
1109	56-57	0.1071899174848241
1109	58-59	0.11632345699099034
1109	60-61	0.11410930991566914
1109	62-63	0.13797053573228624
1109	64-65	0.10753070789808561
1109	66-67	0.11878301792684454
1109	68-69	0.10671587177446895
1109	70-71	0.14685306923078656
1109	72-73	0.09917096067021447
1109	74-75	0.05952406971855595
1109	76-77	0.05254340504298938
1109	78-79	0.14737697693823293
1109	80-81	0.2243854055370207
1109	82-83	0.17055630748687634
1109	84-85	0.24200615160582828
1109	86-87	0.17199679335483609
1109	88-89	0.2781141993724461
1109	90-91	0.26052288646334176
1109	92-93	0.3181600860351992
1109	94-95	0.382822578233565
1109	96-97	0.25499195980864897
1109	98-99	0.5255616474505942
1109	100-101	0.47237914415148907
1110	1	-0.17978537945284145
1110	2	0.058657744183342686
1110	3	-0.2937402189227569
1110	4	-0.0010269853684192753
1110	5	0.1160586285266163
1110	6	0.17964074920138984
1110	7	0.02435377530496652
1110	8	-0.11338295643700746
1110	9	-0.0071657099978281735
1110	10-11	0.03340661846069537
1110	12-13	0.06459895146272743
1110	14-15	0.06995987614907051
1110	16-17	0.116602474088495
1110	18-19	0.07741022713732093
1110	20-21	-0.002115539110540965
1110	22-23	0.03978509938109198
1110	24-25	0.062222498811493665
1110	26-27	0.06012647853385289
1110	28-29	0.05210827784716798
1110	30-31	0.09269620312614535
1110	32-33	0.09751599280600232
1110	34-35	0.056157384157472734
1110	36-37	0.1035038388746159
1110	38-39	0.09517770440744044
1110	40-41	0.08002882332510097
1110	42-43	0.08214517142268818
1110	44-45	0.11667585184816431
1110	46-47	0.07768322249130932
1110	48-49	0.10358499880344851
1110	50-51	0.010822408104942838
1110	52-53	0.1436759996850796
1110	54-55	0.1122266824836089
1110	56-57	0.1265734396546705
1110	58-59	0.07392223327895664
1110	60-61	0.1201954849704876
1110	62-63	0.1520954710047775
1110	64-65	0.15195895566105833
1110	66-67	0.14273081491712958
1110	68-69	0.13418492994977527
1110	70-71	0.15892561243715164
1110	72-73	0.1349151239977644
1110	74-75	0.12348982032951739
1110	76-77	0.2521024322734178
1110	78-79	0.25711047487832417
1110	80-81	0.21917388741703547
1110	82-83	0.16848432418360915
1110	84-85	0.19795450777650814
1110	86-87	0.22257665539717664
1110	88-89	0.3488588110229003
1110	90-91	0.3409886240802038
1110	92-93	0.3906106002646439
1110	94-95	0.41472541366668025
1110	96-97	0.3820966639449779
1110	98-99	0.6215317202048922
1110	100-101	0.4104647259609848
1111	1	-0.22770175221467426
1111	2	-0.01879928774879147
1111	3	-0.19583626533292176
1111	4	-0.0196982174536231
1111	5	0.11359167672855364
1111	6	0.16731968117322538
1111	7	0.08563753839017352
1111	8	0.0685996381172842
1111	9	0.07268421409274595
1111	10-11	0.03748369844138466
1111	12-13	0.04645515712632431
1111	14-15	0.08712231457889885
1111	16-17	0.06710324803167822
1111	18-19	0.02528199091059946
1111	20-21	-0.005756994472079668
1111	22-23	0.04778872687302993
1111	24-25	0.0333171362883391
1111	26-27	0.020428915877367615
1111	28-29	0.050339978669654784
1111	30-31	0.09338386502761153
1111	32-33	0.05448736164707668
1111	34-35	0.056722790729523354
1111	36-37	0.09905921445721333
1111	38-39	0.05143126593073788
1111	40-41	0.08505018073952897
1111	42-43	0.09110326429247806
1111	44-45	0.14569443483338063
1111	46-47	0.08511617428823826
1111	48-49	0.07082630184596894
1111	50-51	0.08782913193398656
1111	52-53	0.09162772471030678
1111	54-55	0.15390740582102325
1111	56-57	0.16516242360098232
1111	58-59	0.11575872415166089
1111	60-61	0.10217544447676374
1111	62-63	0.14220189230345426
1111	64-65	0.15985477777297774
1111	66-67	0.15726810136220593
1111	68-69	0.18005002779111123
1111	70-71	0.19693638919967782
1111	72-73	0.11836158794724128
1111	74-75	0.18750586450241968
1111	76-77	0.22551689479085724
1111	78-79	0.2507230669281526
1111	80-81	0.3046760867966398
1111	82-83	0.2377701967862862
1111	84-85	0.24558041709430967
1111	86-87	0.2620978994792438
1111	88-89	0.3753425128520007
1111	90-91	0.3133368506179721
1111	92-93	0.4497969750891784
1111	94-95	0.4720660482886032
